city,country,cost_index_1,cost_index_2,cost_index_3,cost_index_4,cost_index_5,cost_index_6,cost_index_7,cost_index_8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
Bejaia,Algeria,1.45,18.08,2.89,1.45,1.05,0.39,0.41,0.17,0.68,0.14,1.06,1.21,5.49,3.73,10.25,1.87,2.23,1.18,0.71,0.55,0.35,0.48,0.22,10.85,2.17,1.45,2.17,0.14,9.76,1.27,0.36,3.62,0.23,21699.05,20289.68,21.51,0.06,36.77,18.99,,3.62,45.81,361.65,26.22,32.1,42.49,55.21,139.84,79.56,390.58,265.21,895.09,614.81,278.47,6.0,0
Titagarh,India,,17.19,3.68,0.74,,1.11,0.34,0.25,0.61,0.31,0.37,1.03,3.07,2.21,3.68,,0.74,0.61,,,0.61,0.61,0.25,1.84,0.74,1.47,,,,,,,1.15,,,,,8.6,24.56,,,,,,,,,36.85,30.7,98.25,85.97,,,,9.0,0
Kamakurayama,Japan,6.33,30.9,5.21,3.35,4.47,3.1,0.97,0.82,1.49,1.86,2.98,1.89,12.66,5.64,18.61,3.72,2.23,3.16,3.69,2.36,1.86,1.49,1.12,7.45,2.2,2.61,3.72,,,4.02,2.98,19.66,1.23,13029.07,14642.2,181.61,0.22,35.77,,,13.4,217.15,13401.33,51.05,35.36,74.45,85.62,521.16,372.26,1116.78,893.42,,,2768.12,2.08,0
Linhares,Brazil,5.75,11.5,5.75,1.34,1.92,1.64,0.96,0.69,0.95,1.43,1.02,1.53,6.5,4.05,6.51,0.96,0.85,0.38,1.29,0.57,0.76,0.19,0.51,7.66,0.99,2.38,1.53,0.77,15.33,0.96,0.74,9.87,1.13,19159.29,24485.15,65.14,0.29,18.82,15.33,,7.66,95.8,1379.47,19.16,15.33,74.51,38.32,,,191.59,,,,574.78,4.0,0
Zabrze,Poland,6.2,18.03,6.2,1.8,1.46,1.69,1.13,1.13,0.56,0.64,0.79,3.61,5.71,4.51,7.32,0.79,1.13,1.13,1.35,0.56,0.79,0.71,0.45,5.41,0.79,0.98,3.83,0.9,36.06,1.35,0.41,6.76,1.41,23664.37,19833.0,162.83,0.03,10.14,,4.51,4.85,157.76,2244.73,18.03,18.03,59.16,71.37,338.06,315.52,428.21,383.14,1846.38,1595.2,788.81,7.0,0
Ait Melloul,Morocco,2.83,9.44,4.72,2.83,3.68,1.28,0.53,0.28,0.64,0.58,0.85,1.13,7.56,3.78,7.56,1.15,0.94,0.47,0.19,0.28,0.28,0.28,0.47,4.72,1.04,1.61,3.16,0.38,8.5,0.47,0.28,3.31,1.16,17944.84,19919.63,42.58,0.08,23.32,11.33,,6.46,61.98,1936.15,21.59,30.7,63.75,35.42,,,,,,,330.56,4.5,0
Almada,Portugal,8.43,26.34,5.37,1.9,2.63,1.71,1.24,1.42,0.55,1.55,0.76,2.02,6.85,5.51,9.3,2.16,1.02,1.58,2.1,1.16,0.74,1.21,0.47,3.95,1.25,1.58,5.37,1.74,42.15,3.42,0.99,15.81,2.14,21074.9,16859.92,73.76,0.05,31.35,30.95,13.17,7.38,382.86,4214.98,72.44,28.98,76.4,68.14,711.28,579.56,843.0,1027.4,2684.94,2202.68,1176.68,2.58,0
Saint-Louis,Senegal,1.58,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.11,,,,,,,,0
Orekhovo-Borisovo Yuzhnoye,Russia,4.0,32.0,,,1.92,2.8,1.6,0.48,0.8,0.4,1.87,1.34,10.4,6.4,16.0,2.24,1.44,1.52,2.4,1.28,0.67,1.6,0.8,8.0,1.12,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Burgos,Spain,10.54,52.69,7.38,2.63,2.69,1.69,1.77,1.11,0.81,1.09,1.22,1.56,9.82,6.3,9.48,1.51,1.12,1.09,1.83,0.66,1.21,1.04,0.39,3.69,0.88,1.26,5.11,1.26,26.34,2.63,1.16,23.18,1.67,25816.76,21777.4,109.41,0.04,27.66,36.85,10.01,7.9,258.17,6322.47,66.74,29.86,54.44,89.57,566.39,439.06,843.0,720.06,2107.49,1721.12,1752.73,2.29,0
Saint-Etienne,France,13.7,42.15,9.48,3.16,4.2,1.79,2.81,1.58,0.97,1.37,1.75,1.95,6.32,9.8,,2.81,2.47,1.88,2.1,0.9,0.9,1.12,0.33,5.01,2.3,1.05,11.06,1.48,49.53,2.74,1.81,25.92,2.09,27397.38,,153.27,0.21,25.55,22.83,6.32,8.96,553.22,15806.18,80.79,52.69,87.81,77.27,421.5,325.96,777.14,671.76,2809.99,2388.49,2000.09,1.55,0
Chetumal,Mexico,12.56,23.21,5.06,,,2.84,0.71,0.61,0.89,1.55,1.16,1.5,4.13,4.38,,2.84,1.03,1.37,1.55,1.42,1.03,0.93,0.72,,0.98,3.09,3.35,0.57,,1.24,1.29,3.48,1.11,21246.42,16759.92,99.25,0.26,27.21,18.05,,3.09,61.88,,41.26,36.1,77.35,51.57,198.49,126.98,398.77,326.44,626.31,309.41,257.84,9.9,0
