city,country,cost_index_1,cost_index_2,cost_index_3,cost_index_4,cost_index_5,cost_index_6,cost_index_7,cost_index_8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
Shijiazhuang,China,3.2,19.22,4.98,0.78,1.42,3.54,0.41,0.28,1.42,1.42,0.71,1.25,11.39,2.96,9.96,0.85,1.37,0.71,0.71,0.43,0.43,0.21,0.43,14.24,0.71,1.42,2.92,,,1.64,0.28,3.56,1.16,17082.58,14235.48,76.64,0.01,9.11,38.55,13.52,5.69,332.16,9359.83,40.33,35.59,78.3,49.82,213.53,128.12,427.06,284.71,2562.39,1850.61,854.13,5.2,0
Weifang,China,2.85,14.24,5.34,1.14,2.14,3.46,0.71,0.28,1.78,1.07,1.0,,8.54,3.13,8.54,1.14,,1.14,0.85,0.71,0.57,0.43,0.57,5.69,0.71,1.85,2.85,,,,0.23,4.56,1.16,20285.56,16726.69,45.79,0.03,6.41,,,5.69,,24200.32,41.0,37.72,78.3,85.41,,,,,,,,4.5,0
Linyi,China,2.85,21.35,4.27,1.14,1.99,2.73,0.42,0.21,1.71,1.11,0.59,1.09,,3.42,6.41,1.19,0.85,1.42,0.81,0.38,0.36,0.71,0.57,11.39,0.71,2.14,2.85,,12.81,1.42,0.21,5.69,0.95,15659.03,18506.13,67.77,0.02,8.12,,,5.34,284.71,,71.18,32.03,71.18,110.32,213.53,113.88,640.6,355.89,2135.32,996.48,569.42,5.0,0
Foshan,China,2.85,21.35,4.98,0.85,1.71,3.31,0.43,0.28,1.76,1.63,0.78,1.71,14.24,2.89,11.75,1.85,1.44,1.82,1.31,0.74,1.0,0.49,0.51,11.39,0.78,1.78,3.7,0.28,7.12,1.71,0.37,4.27,1.19,21353.23,21353.23,49.82,0.02,16.66,64.06,12.81,6.05,555.18,24556.21,53.31,23.68,54.57,28.47,355.89,203.09,616.87,427.06,5456.94,2491.21,960.9,5.19,0
Tongshan,China,3.56,21.35,4.98,0.71,1.92,2.86,0.43,0.23,1.72,1.78,0.9,1.82,5.69,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,14.24,0.71,1.76,2.85,0.28,28.47,1.28,0.28,5.68,1.19,22563.24,22563.24,40.46,0.02,14.71,28.47,11.39,5.55,284.71,23251.29,64.06,44.45,99.65,74.02,384.36,234.89,703.08,380.8,2348.85,1459.14,727.43,4.46,0
Heze,China,,,4.98,,,4.27,0.5,0.25,1.78,2.53,1.82,0.85,11.39,3.13,22.78,2.28,,,,1.99,,1.42,0.85,10.68,1.14,2.56,2.85,,,,0.57,,,,,92.53,,14.24,,,4.98,,,71.18,,74.74,,,,,,,,,,0
Changchun,China,2.85,17.08,4.73,2.49,1.42,2.99,0.32,0.21,1.61,1.2,0.9,1.45,10.68,2.81,11.39,1.39,0.71,1.21,0.9,0.57,0.71,0.57,0.57,5.69,0.48,1.99,3.56,0.28,8.54,1.14,0.27,3.42,1.16,20997.34,22420.89,53.62,0.02,11.86,42.11,12.81,8.54,284.71,14947.26,28.47,42.66,85.41,118.63,320.3,220.65,640.6,462.65,1708.26,5478.2,1263.76,5.63,0
Hefei,China,2.85,22.78,4.98,0.85,2.14,3.26,0.44,0.28,1.58,1.57,0.88,1.37,9.02,4.27,9.83,1.7,0.98,0.98,0.88,0.64,0.39,0.38,0.81,15.66,0.78,2.85,2.85,0.28,14.24,1.42,0.36,4.27,1.17,19773.09,21590.48,89.91,0.02,17.08,41.28,6.05,5.69,249.12,7829.52,74.45,28.47,85.37,56.94,275.22,142.35,569.42,332.16,3985.94,1708.26,965.48,4.86,0
Jinan,China,2.85,21.35,4.27,1.14,1.99,2.73,0.42,0.25,1.91,1.11,0.59,1.09,14.59,2.96,6.41,1.19,0.85,1.36,0.81,0.38,0.36,0.71,0.57,11.39,0.78,1.42,2.85,0.28,5.69,1.42,0.21,5.69,1.17,16370.81,18506.13,67.77,0.02,8.12,72.6,4.75,5.34,565.86,9359.83,54.89,32.03,78.97,74.69,289.67,215.43,552.56,410.78,4270.65,1565.9,782.95,5.17,0
Cangzhou,China,2.14,21.35,4.27,0.71,2.14,3.56,0.45,0.26,1.85,1.57,0.62,1.71,5.69,4.27,9.96,1.66,1.42,1.46,1.19,0.93,1.0,0.7,0.71,10.61,0.85,1.57,2.85,0.28,17.08,1.42,0.43,5.77,1.18,21353.23,18031.61,38.07,0.02,8.26,11.86,6.41,6.41,423.51,20207.27,17.08,11.39,87.19,71.18,284.71,170.83,569.42,284.71,2562.39,1736.73,640.6,5.23,0
Zhanjiang,China,2.35,17.79,5.55,0.85,2.85,2.85,0.5,0.26,1.57,0.71,0.43,1.02,9.96,2.42,6.9,1.28,0.71,1.0,1.38,1.0,1.35,0.71,0.59,11.39,0.71,1.42,3.27,0.28,,1.64,0.19,4.27,1.3,14235.48,17082.58,35.59,0.01,9.25,,,5.69,284.71,14235.48,61.69,22.63,90.72,132.86,256.24,,498.24,,2135.32,,569.42,4.18,0
Nanning,China,2.35,21.35,4.48,,2.85,4.02,0.65,0.3,1.57,1.67,1.25,1.34,9.96,5.79,13.29,2.28,0.71,2.18,1.14,0.5,1.42,0.81,0.59,11.39,1.14,1.42,3.27,0.28,,1.64,0.36,7.12,1.3,25623.87,22065.0,39.99,0.01,9.49,32.03,17.08,5.69,284.71,14235.48,61.69,40.33,90.72,132.86,358.17,113.88,405.71,234.89,7775.86,1420.34,818.54,4.18,0
Yancheng,China,4.27,17.08,5.94,0.71,2.14,3.99,0.43,0.36,1.78,2.53,1.82,0.85,11.39,3.13,22.78,2.28,,,,1.99,,1.42,0.85,10.68,1.14,2.56,2.85,0.14,,1.0,0.57,,,,,92.53,,14.24,,,4.98,,,71.18,,74.74,,,,711.77,,3558.87,2135.32,,,0
Yantai,China,2.85,22.78,4.98,1.14,2.14,3.56,0.45,0.28,1.78,1.19,0.78,,8.54,3.46,15.66,1.92,,1.78,1.35,1.19,0.71,0.5,0.57,5.69,0.8,1.85,3.84,,,,0.28,2.85,1.16,20285.56,16726.69,45.79,0.04,14.24,,,6.83,,24200.32,78.3,37.72,78.3,85.41,,,,,,,,4.5,0
Kunming,China,2.49,28.47,5.34,1.07,2.14,3.38,0.52,0.25,1.89,2.73,1.78,1.71,14.71,5.37,10.5,1.64,1.0,1.49,1.61,0.93,1.19,0.66,0.71,8.54,0.71,1.57,2.85,0.43,42.71,1.14,0.43,7.12,1.18,17082.58,18980.64,47.45,0.02,12.46,23.73,11.39,7.12,260.98,,68.84,30.89,93.9,128.12,212.96,226.63,365.57,361.01,5517.93,3892.4,949.44,5.25,0
Huanggang,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.09,,,,,,,,,,,,,,,,,0
Allahabad,India,1.84,6.14,3.68,1.66,2.46,2.15,0.64,0.2,0.64,0.58,0.53,0.96,4.79,2.55,6.67,1.29,0.61,0.72,0.42,0.34,0.39,0.59,0.32,4.61,2.36,2.95,2.46,0.61,12.28,1.23,0.18,1.84,1.19,12281.76,36845.28,63.46,0.02,9.36,14.33,1.23,4.91,38.89,491.27,26.61,42.99,59.36,40.94,78.3,79.83,245.64,141.24,614.09,,409.39,10.88,0
Yulin,China,2.35,21.35,4.48,,2.85,4.02,0.65,0.3,1.57,1.67,1.28,1.34,9.96,5.79,13.29,2.28,0.71,2.18,1.14,0.5,1.42,0.81,0.59,11.39,1.14,1.42,3.27,,,1.64,0.36,7.12,1.3,25623.87,22065.0,39.99,0.01,9.49,,,5.69,284.71,14235.48,61.69,40.33,90.72,132.86,,,,,,,,4.18,0
Liaocheng,China,,,5.12,,,2.28,0.45,0.28,1.35,,0.43,2.9,,,13.52,,,,,,,,,,0.71,,2.14,,,,0.28,3.42,,14591.37,,,,,,,4.98,,,,,,,,,,,,,,,0
Xiangyang,China,2.85,17.08,4.98,0.71,,4.27,0.69,0.28,1.42,1.0,0.71,,,,7.12,1.14,,1.42,0.57,0.43,0.57,,0.28,,1.42,2.14,2.85,,,,0.28,,,,11388.39,71.18,,9.96,23.73,,5.69,,,,,,,,,,,,,,,0
Changzhou,China,2.85,22.78,4.98,0.85,2.14,3.26,0.39,0.28,1.58,1.57,0.7,1.37,9.02,5.05,9.83,1.7,0.98,0.98,0.88,0.64,0.39,0.38,0.81,15.66,0.61,2.85,2.85,0.28,,1.42,0.36,4.27,1.16,19773.09,21590.48,75.63,0.02,14.24,26.1,,9.96,249.12,7829.52,69.04,28.47,85.37,56.94,327.42,199.3,711.77,427.06,3416.52,1779.44,996.48,4.86,0
Taizhou,China,2.85,21.35,4.98,0.78,1.78,2.75,0.41,0.32,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,42.71,0.01,14.24,,,4.98,,,,,,,,,,,,,,,0
Pingdingshan,China,2.14,14.24,5.34,4.27,7.12,4.27,0.36,0.28,1.85,1.78,0.71,1.24,4.27,2.14,8.54,0.93,0.71,1.14,0.85,0.43,0.43,0.43,0.78,12.81,0.43,1.71,1.85,,,1.14,0.28,,1.21,21353.23,21353.23,37.01,0.02,11.39,,,4.63,284.71,,60.5,35.59,78.3,92.53,,,,,,,,4.45,0
Guilin,China,4.27,21.35,4.63,1.42,2.85,1.99,0.66,0.26,1.42,1.47,0.83,2.26,4.27,2.85,9.25,0.85,0.5,0.71,0.43,0.43,0.71,0.14,0.93,9.4,0.78,1.85,3.2,0.28,28.47,1.0,0.38,3.7,,14235.48,21353.23,35.59,0.05,17.08,42.71,2.14,5.69,,,58.37,27.05,92.46,62.28,143.07,99.65,427.06,170.83,1850.61,,465.03,5.0,0
Jiujiang,China,2.85,22.78,3.42,0.85,2.14,3.26,0.43,0.28,1.42,1.57,0.85,1.37,9.02,4.27,9.83,1.7,0.98,0.98,0.71,0.64,0.39,0.28,0.43,15.66,0.78,1.28,2.85,,,1.42,0.36,8.54,1.17,19773.09,21353.23,72.6,0.02,11.39,,,4.27,249.12,7829.52,21.35,28.47,85.37,56.94,,,,,,,,4.86,0
Huizhou,China,2.14,9.96,4.27,,,4.03,0.57,0.36,1.85,2.14,1.0,,16.37,2.92,11.39,2.42,,1.71,0.78,0.71,0.57,0.43,0.43,14.24,0.57,2.49,2.49,,,,0.34,4.27,1.16,14804.9,16655.52,71.18,0.02,14.95,35.59,,6.76,166.08,,64.06,14.16,99.65,28.47,,,,,2562.39,1195.78,,5.32,0
Chenzhou,China,2.99,17.79,4.98,0.85,1.42,3.56,0.45,0.28,1.84,1.07,0.85,1.59,10.63,4.27,7.47,1.66,1.42,1.46,1.0,0.64,0.43,0.43,0.66,19.57,0.28,1.95,2.85,,,1.35,0.36,6.98,1.16,18150.24,18506.13,49.32,0.01,9.15,,,6.76,284.71,9964.84,58.72,37.37,85.41,87.19,213.53,142.35,569.42,355.89,2642.46,1585.48,996.48,3.0,0
Anqing,China,2.85,14.24,6.55,0.71,2.14,2.56,0.36,0.25,1.42,,0.71,1.71,13.52,2.56,11.39,2.14,1.42,2.14,1.85,0.85,0.71,0.57,0.41,,0.35,0.71,,,,1.14,0.57,,1.4,,,36.92,0.01,7.12,,,5.69,,,28.47,28.47,85.41,,,,,,,,,3.5,0
Harbin,China,2.85,17.08,5.69,0.71,2.14,2.37,0.46,0.25,1.35,1.57,0.71,1.79,13.52,3.56,11.39,1.42,1.99,3.06,0.9,0.57,1.64,0.5,1.0,7.12,0.47,2.7,1.78,0.5,19.22,1.21,0.27,3.42,1.16,17082.58,14947.26,56.94,0.02,11.86,21.35,14.95,4.27,189.81,8185.4,85.41,30.61,92.53,92.53,284.71,170.83,683.3,313.18,2242.09,1475.75,661.75,5.8,0
Zibo,China,4.27,21.35,3.42,1.42,2.14,2.14,0.46,0.28,1.91,1.55,0.95,1.25,14.59,2.96,10.56,1.25,1.37,1.36,1.12,0.74,0.74,0.71,0.67,14.24,1.07,1.42,2.92,,,1.14,0.31,6.26,1.2,19217.9,19217.9,21.35,0.04,8.54,11.39,,5.69,565.86,9359.83,42.71,32.03,78.97,71.18,284.71,142.35,498.24,142.35,1850.61,854.13,432.43,5.2,0
Chifeng,China,,,4.27,,,,0.43,0.28,,0.71,0.43,,,2.28,11.39,0.71,,0.71,0.57,0.71,1.14,0.14,0.57,2.7,0.71,,,,,,0.14,,,,,,,,,,,,11388.39,,,,,,,,,,,498.24,5.5,0
Taiyuan,China,1.71,17.79,4.98,1.42,1.42,3.56,0.41,0.28,1.42,2.85,0.57,0.85,14.24,2.85,9.96,1.42,1.14,0.85,0.71,0.57,0.57,0.43,0.43,11.39,0.43,1.42,1.42,0.14,7.12,1.28,0.28,3.56,1.16,24200.32,22776.77,43.6,0.03,9.11,35.59,28.47,4.27,332.16,4270.65,21.35,21.35,71.18,49.82,142.35,71.18,284.71,170.83,1423.55,1138.84,569.42,5.0,0
Zhaoqing,China,2.85,14.24,6.55,0.71,2.14,2.56,0.36,0.25,1.42,,0.71,1.71,13.52,2.56,11.39,2.14,1.42,2.14,1.85,0.85,0.71,0.57,0.41,,0.35,0.71,,,,1.14,0.57,,1.4,,,56.94,0.01,7.12,42.71,35.59,5.69,427.06,,28.47,28.47,85.41,,185.06,,,,,,,3.5,0
Liuzhou,China,1.71,15.66,4.27,,,2.85,0.47,0.28,1.14,0.94,1.04,1.11,,3.77,11.03,1.66,1.14,1.42,1.35,1.14,1.07,0.75,0.78,14.59,0.78,3.56,2.85,0.28,7.12,,0.26,3.56,,19217.9,13523.71,49.82,0.04,10.87,42.71,4.98,6.05,284.71,,46.27,30.61,94.9,60.5,,,,,,,593.15,4.65,0
Baojishi,China,3.77,11.25,4.26,0.85,2.06,2.47,0.66,0.52,1.16,1.71,0.74,1.86,,3.04,8.83,1.14,1.1,0.83,0.73,0.63,0.57,0.47,0.52,11.39,0.57,1.99,4.27,0.21,12.81,0.71,0.23,2.85,1.15,19217.9,19927.54,46.76,0.02,13.95,16.01,11.67,6.76,199.3,8363.35,50.68,56.94,64.06,71.18,156.59,117.8,327.42,185.06,,,555.11,5.28,0
Jiaozuo,China,2.14,17.08,4.27,0.78,2.28,3.27,0.44,0.28,1.77,1.71,0.73,1.48,17.79,2.33,10.92,1.0,0.95,0.85,0.89,0.59,0.49,0.33,0.57,12.1,0.95,1.74,2.85,,,1.14,0.34,2.56,1.16,21282.05,22231.08,52.99,0.02,9.68,,,6.41,284.71,4982.42,43.18,37.96,113.88,110.32,,,,,,,,5.47,0
Zhongshan,China,2.85,15.66,4.27,0.85,1.71,3.46,0.71,0.39,1.56,1.33,1.08,2.39,14.67,6.77,13.47,1.87,1.28,3.14,1.57,0.94,1.26,0.43,0.43,9.96,1.04,2.14,3.27,0.43,21.35,1.0,0.4,4.27,1.16,24200.32,14947.26,71.18,0.02,14.95,28.33,7.12,6.41,398.59,19929.68,58.13,28.0,85.41,89.11,256.24,142.35,498.24,284.71,3558.87,1708.26,774.65,5.6,0
Zhenjiang,China,2.85,22.78,4.98,0.85,2.14,1.42,0.44,0.28,1.58,0.57,0.88,1.37,9.02,4.27,9.83,1.7,0.98,0.98,0.88,0.64,0.39,0.38,0.81,15.66,0.71,2.85,2.85,0.14,7.12,1.42,0.36,4.27,1.17,19773.09,21590.48,89.91,0.02,5.69,,,5.69,249.12,7829.52,74.45,28.47,85.37,56.94,,,,,,,,4.86,0
Urumqi,China,4.27,21.35,4.48,1.14,2.14,3.06,0.43,0.28,1.42,2.14,0.96,1.71,5.69,3.13,11.03,1.42,1.42,1.42,1.14,1.14,1.14,1.14,1.04,9.96,0.71,1.78,2.21,0.14,4.27,1.42,0.25,7.12,1.14,18506.13,18506.13,42.71,0.03,14.24,14.24,8.54,4.63,170.83,7829.52,,21.35,71.18,42.71,,,,,,,,,0
Putian,China,3.2,21.35,4.84,2.14,3.56,3.77,0.56,0.45,1.39,1.35,1.0,1.57,16.73,3.86,13.1,2.16,1.19,1.66,1.72,0.93,1.24,1.09,0.51,12.81,0.66,0.99,2.85,0.28,17.08,1.42,0.36,11.39,1.19,18506.13,15564.13,53.18,0.03,11.39,,7.12,5.69,427.06,14235.48,42.64,48.4,92.53,49.82,,,,,,,427.06,5.39,0
Daqing,China,,,4.27,,,2.14,0.36,,1.42,,,,,,,,,,,,,,0.57,,,,2.42,,,,0.21,,,21353.23,21353.23,,0.01,9.96,,,4.27,,,28.47,21.35,42.71,56.94,,,,,,,640.6,4.08,0
Weihai,China,7.12,25.62,5.34,0.85,,3.46,0.43,0.21,1.49,0.98,1.26,1.71,10.64,4.49,14.18,4.71,,2.2,3.14,1.57,1.57,0.43,0.57,,0.71,2.56,2.85,0.14,,1.21,0.21,4.56,,24200.32,19217.9,28.47,0.03,8.54,,4.27,5.69,,,41.0,59.79,113.88,142.35,,,498.24,284.71,1708.26,1138.84,,4.75,0
Ankang,China,2.85,17.08,4.98,0.71,2.56,3.42,0.42,0.28,1.81,1.11,1.67,1.54,10.63,3.24,8.4,1.32,1.45,1.42,1.14,0.5,0.61,0.78,0.58,11.39,0.55,1.46,2.85,,,1.21,0.36,4.27,1.16,17794.35,20878.71,48.49,0.03,13.52,,,5.55,427.06,17082.58,48.04,30.77,70.29,68.6,,,,,,,,4.91,0
Ghaziabad,India,3.68,30.7,4.3,1.6,3.07,1.64,0.38,0.18,0.71,0.46,0.74,0.85,3.73,3.15,5.49,1.04,0.63,0.63,0.54,0.37,0.45,0.56,0.34,6.14,1.93,2.86,3.07,0.61,14.74,1.23,0.17,1.23,1.13,12895.85,20571.95,56.8,0.02,9.55,14.12,24.56,3.07,32.75,982.54,22.52,28.66,53.22,28.25,98.25,67.55,212.88,143.29,648.49,343.15,491.27,7.83,0
Bekasi,Indonesia,1.94,13.61,3.24,2.59,4.0,1.83,0.61,0.27,1.3,1.06,0.81,1.71,8.59,3.52,8.43,2.99,1.6,2.01,1.3,1.42,2.05,1.13,0.43,19.45,2.17,3.24,2.25,0.45,3.89,0.65,0.3,2.92,0.8,32409.53,26575.82,54.84,0.14,31.57,29.17,14.04,3.24,73.46,5190.41,39.51,25.16,72.38,61.58,286.28,172.85,531.52,298.17,1454.82,929.07,452.11,10.4,0
Depok,Indonesia,1.46,12.96,3.24,2.06,3.24,1.47,0.46,0.27,1.15,1.07,0.81,1.25,6.9,2.75,8.43,2.59,1.04,1.56,1.3,1.42,2.27,0.65,0.43,12.96,2.17,3.24,2.2,0.29,12.96,0.44,0.29,2.92,0.77,25992.44,28106.01,56.93,0.09,31.57,23.77,6.16,3.24,87.51,3716.29,39.51,25.16,50.25,48.61,108.03,75.62,270.08,183.65,1296.38,891.26,421.32,5.25,0
Xining,China,4.63,35.59,7.12,1.78,4.27,4.8,0.61,0.39,1.85,1.42,0.62,1.71,6.41,5.75,13.77,1.71,1.42,1.78,2.18,1.36,1.1,1.04,0.69,12.81,0.68,1.57,2.85,,,1.14,0.32,4.98,1.16,19929.68,18031.61,42.32,0.02,38.44,21.35,8.54,5.69,341.65,11388.39,64.06,40.29,75.92,78.3,355.89,284.71,711.77,512.48,5694.19,3985.94,648.9,5.15,0
Huaibei,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Gujranwala,Pakistan,0.98,6.71,3.35,2.24,4.47,1.34,0.2,0.18,0.61,0.45,0.79,0.95,4.52,1.91,2.98,0.89,0.46,0.69,0.45,0.31,0.34,0.21,0.28,1.88,1.34,2.13,1.12,0.18,3.35,0.67,0.13,1.34,0.65,10281.63,12069.74,35.38,0.01,15.65,7.6,4.47,3.13,15.65,521.53,12.67,13.41,37.25,28.31,68.17,29.8,160.93,91.64,1266.4,769.72,138.58,11.55,0
Pingliang,China,7.12,11.39,5.34,0.71,2.14,1.71,0.43,0.28,1.78,0.43,1.0,1.71,,3.13,8.54,1.14,,1.14,0.85,0.71,0.57,0.43,0.85,,0.71,2.56,2.85,0.28,,1.14,0.23,4.56,1.14,24200.32,19217.9,49.82,0.03,8.54,,,4.27,284.71,,9.96,11.39,49.11,52.67,284.71,213.53,640.6,355.89,3202.98,1779.44,,4.75,0
Fushun,China,1.14,10.68,4.63,0.71,1.71,3.2,0.66,0.33,1.71,1.42,1.0,1.71,14.24,4.27,8.9,1.21,1.14,1.21,0.75,0.64,0.64,0.43,0.57,10.68,1.07,1.71,3.2,0.14,11.39,0.85,0.28,4.27,,14235.48,17082.58,32.47,0.01,9.25,21.35,4.27,4.98,398.59,,71.18,28.47,81.85,60.5,142.35,85.41,213.53,160.15,,,,5.57,0
Ecatepec,Mexico,2.71,25.78,6.19,1.21,1.42,1.96,0.72,0.52,1.15,1.23,1.68,1.34,4.64,4.64,7.09,2.58,0.93,0.9,0.9,0.9,0.77,0.77,0.74,10.31,1.29,1.8,3.3,0.68,21.14,1.29,0.26,5.16,1.15,18306.99,17533.46,29.22,0.13,25.78,50.71,9.02,3.35,154.71,3300.42,40.4,27.07,67.04,76.49,446.93,163.3,825.1,481.31,1127.35,773.53,429.74,10.48,0
Meru,Kenya,3.26,16.31,4.08,1.63,2.04,0.82,0.52,0.3,0.45,0.41,0.87,1.34,4.08,6.93,3.87,1.56,1.63,1.77,0.63,0.68,0.6,0.49,0.54,4.89,1.58,0.9,1.75,1.22,30.57,3.26,0.82,4.08,1.0,14268.24,12773.47,16.31,0.02,23.64,36.69,,4.89,40.77,3057.48,14.13,20.38,23.1,33.97,93.76,57.07,183.45,114.15,2445.98,1386.06,346.51,13.33,0
Caloocan City,Philippines,2.51,19.29,2.65,1.08,2.15,1.65,0.34,0.31,1.88,,0.8,1.51,2.15,2.87,5.74,1.61,1.26,2.33,2.33,,,,0.63,,,,3.41,0.2,,0.72,0.45,2.87,1.25,17942.05,23324.66,152.13,0.13,30.5,,3.59,5.65,199.36,5831.17,40.67,25.12,46.65,44.86,448.55,394.73,592.09,538.26,1345.65,717.68,246.36,10.0,0
Manhattan,United States,12.0,45.0,7.5,3.5,5.5,4.0,1.92,1.25,0.81,2.05,3.58,2.17,7.72,6.58,12.17,3.79,1.08,2.87,3.9,1.06,1.85,1.42,1.1,15.0,2.5,2.53,7.46,2.75,30.0,2.0,0.93,42.5,1.1,23500.0,24932.5,155.19,0.13,56.25,,,11.0,553.5,6750.0,25.0,30.0,70.0,100.0,800.0,950.0,,,,,5166.67,5.43,0
Semarang,Indonesia,1.3,9.72,3.24,2.48,2.59,1.34,0.42,0.2,1.13,0.97,0.81,1.29,6.15,2.96,7.24,2.3,1.3,1.15,0.86,1.15,1.38,0.55,0.36,12.15,2.03,2.98,1.94,0.23,18.18,0.58,0.32,2.11,0.79,23334.86,27914.38,40.19,0.1,28.38,29.17,12.15,3.24,75.62,6009.65,32.39,22.69,64.82,37.81,259.28,194.46,680.6,550.96,1215.36,378.11,269.0,8.69,0
Agra,India,2.46,7.37,2.46,1.54,2.82,0.86,0.34,0.11,0.68,0.31,0.68,0.99,3.87,2.33,4.3,1.23,0.35,0.57,0.41,0.25,0.38,0.12,0.36,13.51,1.57,2.17,4.05,,,0.61,0.16,0.74,1.25,12281.76,25791.7,63.46,0.01,9.52,24.56,,2.46,27.63,1093.08,24.56,42.31,40.94,13.41,122.82,85.97,184.23,122.82,1350.99,644.79,388.92,8.68,0
Bilaspur,India,2.46,7.98,3.99,2.46,3.68,0.84,0.31,0.12,0.55,0.35,0.61,0.88,3.48,2.97,4.91,1.76,0.61,1.06,0.66,0.33,0.37,0.21,0.39,5.53,2.25,3.48,3.38,0.28,5.53,0.46,0.21,0.61,1.32,7983.14,14124.02,15.76,0.01,6.71,15.56,18.42,2.46,55.27,1013.25,36.85,30.7,42.99,36.85,83.93,57.31,208.79,141.24,637.54,188.92,470.8,7.97,0
Kalyan,India,3.68,10.44,4.18,2.64,4.3,1.93,0.43,0.16,0.72,0.5,0.68,0.9,6.14,2.92,2.92,1.75,0.64,1.44,0.53,0.39,0.4,0.37,0.36,6.14,2.15,2.82,3.68,0.25,4.3,0.39,0.31,1.23,1.35,11053.58,19650.82,39.42,0.02,9.58,16.17,9.21,4.3,58.95,1514.75,25.05,21.49,39.3,28.66,157.62,89.04,262.01,221.07,2423.66,925.4,614.09,8.5,0
Madurai,India,1.35,7.37,3.68,1.29,3.07,1.23,0.39,0.18,0.56,0.51,0.61,0.78,5.37,3.22,5.94,2.03,0.83,1.42,0.54,0.33,0.62,0.41,0.37,3.68,1.45,3.68,4.91,0.31,9.83,1.11,0.17,1.25,1.29,15352.2,20264.9,33.93,0.01,9.01,4.5,5.12,2.46,40.26,757.38,20.47,21.29,38.89,15.78,88.02,52.2,214.93,138.17,,,458.52,8.5,0
Jamshedpur,India,1.99,12.28,3.68,1.6,2.46,1.15,0.26,0.13,0.62,0.35,0.69,0.92,4.98,2.95,6.38,1.88,0.65,1.19,0.25,0.21,0.38,0.37,0.31,9.52,1.77,2.96,4.05,0.61,,0.61,0.25,1.23,1.26,12281.76,22528.1,30.71,0.0,7.47,18.42,2.46,3.56,36.85,1473.81,28.94,26.31,49.43,34.08,122.82,69.08,290.67,135.1,552.68,393.02,223.69,8.25,0
Leon de los Aldama,Mexico,5.67,20.63,4.49,1.8,2.06,3.35,0.74,0.52,1.13,2.11,1.67,1.78,7.22,8.11,9.71,2.01,1.34,1.43,1.43,1.89,1.38,0.83,0.62,7.35,1.0,1.98,3.61,0.62,7.74,4.13,1.03,10.31,1.15,29213.83,20001.89,54.34,0.26,34.38,67.04,15.47,5.16,232.06,3712.97,60.59,43.83,90.25,64.46,472.72,395.36,756.35,524.28,825.1,412.55,610.23,10.9,0
Palembang,Indonesia,0.97,6.48,2.92,2.59,1.62,,0.65,0.32,1.32,1.36,0.62,1.18,,3.4,7.63,3.08,1.13,1.78,0.58,0.78,2.27,0.32,0.49,,2.59,1.62,1.3,0.32,,,,,0.8,,,32.41,,35.65,12.96,,2.27,,,25.93,27.55,35.65,29.17,259.28,194.46,,,972.29,,159.65,,0
Belem,Brazil,3.45,24.91,5.75,1.72,1.63,1.28,0.88,0.54,1.08,1.02,0.96,2.11,6.26,3.0,6.9,2.04,1.34,1.15,1.53,0.95,0.77,0.7,0.7,11.5,1.41,1.79,2.49,0.77,47.9,1.15,1.05,3.83,1.29,16285.4,25865.04,93.4,0.19,18.68,20.44,28.74,5.75,239.49,4789.82,41.51,47.9,51.09,67.06,370.41,242.68,638.64,466.21,1341.15,910.07,507.72,13.67,0
Onitsha,Nigeria,0.68,13.51,3.38,0.48,0.9,1.46,0.3,0.17,1.35,0.72,1.24,1.49,3.38,4.84,3.49,2.25,1.35,0.68,1.58,0.9,0.9,0.79,0.51,2.87,0.73,1.13,,0.23,,,0.23,,0.34,8442.71,14634.04,23.64,0.06,45.03,50.66,,5.07,56.28,,15.76,21.39,50.28,49.53,506.56,180.11,1238.26,450.28,,,123.83,,0
Makassar,Indonesia,1.3,9.72,3.24,2.07,2.92,1.78,0.5,0.26,1.24,1.0,0.82,1.47,5.94,3.65,7.45,2.51,0.86,2.28,0.8,1.02,1.73,1.04,0.45,12.96,2.27,3.52,2.07,0.32,9.72,0.58,0.45,3.57,0.81,24955.34,31761.34,51.2,0.18,41.59,25.12,9.18,2.92,53.8,4861.43,45.36,22.69,75.35,47.97,170.15,77.78,421.32,162.05,1296.38,421.32,231.19,10.67,0
Meerut,India,2.46,11.05,3.99,1.97,2.95,1.69,0.43,0.18,0.74,0.45,0.86,0.91,4.42,2.67,3.64,1.84,0.56,0.68,0.52,0.35,0.39,0.16,0.35,6.14,1.63,2.55,4.18,0.12,3.99,1.23,0.19,,1.17,9825.41,14738.11,62.11,0.01,7.37,14.43,6.96,3.07,28.66,614.09,26.61,18.42,36.85,27.84,61.41,36.85,122.82,92.11,382.53,197.87,491.27,10.38,0
